"pen_size_animal","month","BW","backfat_thick","eye_rib","carcass_weight","windex","marbling"
6.25,29.3,747,19,83,442,59.72,4
6.25,29.5,785,16,86,452,61.74,6
6.25,29.9,889,22,98,529,57.7,6
6.25,29.5,748,17,87,458,61.1,6
6.25,29.5,802,14,92,460,63.58,4
6.25,30.7,710,21,96,422,60.64,7
6.25,30.9,875,13,106,533,64.27,6
8.33333333333333,30.7,774,18,94,456,61.44,6
8.33333333333333,31,810,18,92,482,60.55,4
8.33333333333333,30.9,839,17,89,482,60.79,2
8.33333333333333,31.4,793,12,90,458,64.62,4
8.33333333333333,31.5,881,19,132,537,63.81,8
8.33333333333333,31.8,775,18,94,447,61.85,6
8.33333333333333,30,754,16,94,403,63.96,6
8.33333333333333,29.5,804,14,92,455,63.7,6
8.33333333333333,29.7,776,13,87,453,63.72,6
6.25,28.1,985,21,115,599,58.36,6
8.33333333333333,31,848,14,108,469,65.44,7
8.33333333333333,31.2,816,16,94,455,62.71,6
8.33333333333333,29.6,823,15,98,483,63.18,6
8.33333333333333,29,759,7,87,435,67.9,6
8.33333333333333,31,837,14,102,517,63.51,7
8.33333333333333,30.1,856,14,97,495,63.39,2
8.33333333333333,31,740,10,97,425,67.57,6
8.33333333333333,28.6,866,17,96,505,61.14,3
8.33333333333333,30.7,879,13,107,504,65.1,6
8.33333333333333,31.8,642,13,109,403,67,8
8.33333333333333,29.9,812,26,82,488,54.11,4
8.33333333333333,27.8,797,14,104,462,65.09,6
6.25,31.3,860,16,87,506,60.58,7
6.25,30,999,21,117,585,59.45,7
6.25,28.2,966,13,94,547,62.38,4
6.25,29.8,861,18,106,494,62.08,7
6.25,28.6,870,12,102,501,65.15,7
6.25,29.1,802,10,93,441,66.67,6
6.25,29.2,871,18,102,505,61.3,7
6.25,29,792,12,84,447,64.1,3
6.25,29.4,922,15,109,551,62.98,7
6.25,28.9,752,12,103,445,66.62,7
6.25,28.3,942,11,98,556,63.93,8
8.33333333333333,29,700,8,76,396,66.79,7
8.33333333333333,29.5,750,12,96,419,66.33,2
6.25,29.6,848,14,101,515,63.43,4
8.33333333333333,29.4,830,21,94,472,59.18,6
6.25,29,750,7,84,437,67.47,6
8.33333333333333,29.6,749,22,97,446,59.57,7
8.33333333333333,29.6,925,18,102,553,60.15,9
8.33333333333333,30.4,783,12,102,435,66.73,4
8.33333333333333,30.2,910,12,122,533,66.98,7
6.25,28.8,740,17,84,419,61.65,2
6.25,29.3,863,18,96,499,60.66,7
6.25,26.9,803,6,112,464,71.08,8
8.33333333333333,29,749,9,79,418,66.02,5
8.33333333333333,30.8,801,15,95,474,63.01,8
8.33333333333333,29.7,880,17,103,521,61.67,6
8.33333333333333,30.3,886,15,98,514,62.44,6
8.33333333333333,29.9,988,16,97,585,59.98,5
8.33333333333333,29.8,928,17,98,533,60.73,5
8.33333333333333,28.9,898,13,98,515,63.66,6
8.33333333333333,30.8,809,16,78,480,60.03,4
8.33333333333333,28.9,817,14,94,510,62.64,7
8.33333333333333,29.5,804,16,79,457,60.71,4
8.33333333333333,28.6,772,7,89,443,67.97,4
8.33333333333333,29.1,793,14,98,459,64.38,7
8.33333333333333,29.7,851,15,118,497,65.45,8
8.33333333333333,29,762,13,114,444,67.45,9
8.33333333333333,29.8,843,16,110,508,63.52,7
8.33333333333333,28.6,871,33,81,509,49.1,6
8.33333333333333,29.6,886,22,95,503,57.94,6
8.33333333333333,29.3,849,25,100,491,57,7
8.33333333333333,29.6,857,20,93,498,59.05,7
8.33333333333333,29.3,694,8,85,399,67.88,6
8.33333333333333,29,764,27,89,442,55.5,5
8.33333333333333,29.3,824,17,114,502,63.56,9
8.33333333333333,29.7,757,15,86,435,62.77,8
8.33333333333333,29.3,756,15,87,443,62.71,2
8.33333333333333,29.6,758,25,86,450,56.16,6
8.33333333333333,29.5,859,13,97,520,63.41,6
8.33333333333333,29.9,873,13,103,516,64.29,6
8.33333333333333,29.7,839,16,96,503,61.82,6
8.33333333333333,30.9,630,8,43,348,63.65,4
8.33333333333333,30.3,712,15,87,417,63.34,4
8.33333333333333,29.5,844,20,100,518,59.48,7
8.33333333333333,28.8,818,18,97,483,61.18,8
8.33333333333333,29.8,821,15,99,477,63.46,6
8.33333333333333,29.8,829,18,98,499,60.92,9
8.33333333333333,29.4,878,20,106,526,60.07,7
8.33333333333333,30.4,774,19,92,459,60.48,7
8.33333333333333,31.1,803,14,95,477,63.56,7
8.33333333333333,30.1,805,16,98,474,62.77,6
8.33333333333333,30,841,11,100,496,65.63,5
8.33333333333333,28.5,861,16,99,520,61.8,7
8.33333333333333,30.7,851,20,87,502,58.17,7
8.33333333333333,28.9,809,16,107,483,63.73,9
8.33333333333333,28.8,831,9,85,476,65.41,6
8.33333333333333,29.1,969,17,117,583,62,7
8.33333333333333,30.2,738,14,79,430,62.61,4
8.33333333333333,29,807,11,83,458,64.38,4
8.33333333333333,28.9,851,15,99,497,62.98,6
8.33333333333333,28.5,652,9,80,365,67.42,6
8.33333333333333,30.3,856,14,93,487,63.06,7
8.33333333333333,29.9,862,13,88,524,62.15,6
8.33333333333333,28.6,826,10,103,458,67.56,3
8.33333333333333,28.8,743,10,96,427,67.39,6
8.33333333333333,29.2,712,12,82,425,64.37,6
8.33333333333333,29.3,772,17,89,464,61.22,6
8.33333333333333,35.3095890410959,640,15,103,358,66.83,9
8.33333333333333,34.0602739726027,741,9,81,419,66.26,3
8.33333333333333,33.9616438356164,842,24,88,494,55.99,6
8.33333333333333,33.6986301369863,828,27,79,508,52.61,4
8.33333333333333,33.9616438356164,694,12,91,402,66.09,6
8.33333333333333,34.027397260274,794,12,104,471,66.13,7
8.33333333333333,35.0465753424658,793,24,88,489,56.11,4
8.33333333333333,33.7972602739726,747,17,106,452,63.72,9
8.33333333333333,33.5342465753425,802,16,90,492,61.3,7
8.33333333333333,33.7972602739726,770,10,97,458,66.78,7
8.33333333333333,31.7,525,10,35,285,62.87,3
8.33333333333333,32.7,837,20,83,518,57.27,6
8.33333333333333,31.8,865,17,100,539,60.85,7
8.33333333333333,30.2,926,12,95,517,63.85,6
8.33333333333333,29.5,780,12,97,448,65.77,6
8.33333333333333,30.3,745,17,99,437,63.17,5
8.33333333333333,32.7,829,14,87,470,62.69,7
8.33333333333333,33.4,866,9,97,517,65.99,7
8.33333333333333,30.1,805,8,105,467,68.85,8
8.33333333333333,25.4,797,13,103,472,65.35,6
8.33333333333333,30.9,754,29,86,450,53.66,6
8.33333333333333,31,866,16,96,499,61.91,6
8.33333333333333,30.4,784,9,98,473,67.17,6
8.33333333333333,31,910,14,96,539,62.2,6
8.33333333333333,30.7,761,21,100,488,59.57,8
8.33333333333333,30.5,903,16,113,465,64.94,6
8.33333333333333,30.3,774,9,102,466,67.86,8
8.33333333333333,30.4,744,7,81,412,67.68,6
8.33333333333333,29,837,31,87,489,51.61,8
8.33333333333333,32.3,772,14,84,451,62.76,6
8.33333333333333,30.4,792,9,84,457,65.74,6
8.33333333333333,30.3,828,9,80,453,65.31,2
8.33333333333333,30.6,745,24,84,449,56.55,7
8.33333333333333,29.9,800,14,94,471,63.58,8
8.33333333333333,32.8,735,19,81,432,59.7,7
8.33333333333333,31.5,900,11,98,509,65.06,6
8.33333333333333,32,808,16,112,478,64.5,8
8.33333333333333,32.4,830,18,88,503,59.53,6
8.33333333333333,31.3,928,21,84,569,55.55,6
8.33333333333333,30,714,7,80,412,67.55,4
8.33333333333333,31.5,898,16,97,561,60.56,3
8.33333333333333,30.7,795,10,95,468,66.28,6
8.33333333333333,30.5,794,14,87,453,63.1,6
8.33333333333333,31.8,866,15,105,504,63.59,8
8.33333333333333,30.7,902,26,87,547,53.34,7
8.33333333333333,32.5,780,23,84,469,56.7,6
8.33333333333333,33.2,720,23,76,433,56.52,6
8.33333333333333,31.5,683,12,82,402,64.92,6
8.33333333333333,30.7,835,25,75,483,53.94,6
8.33333333333333,32.3,831,24,84,503,55.26,8
8.33333333333333,30.2,748,17,104,448,63.55,8
8.33333333333333,31.9,896,12,98,535,63.81,7
8.33333333333333,29.6,870,20,111,538,60.43,8
8.33333333333333,30.4,907,18,120,563,62.25,9
8.33333333333333,30.6,916,31,88,555,50.15,8
8.33333333333333,30.9,737,13,84,424,64.03,6
8.33333333333333,31.8,822,16,95,481,62.22,7
8.33333333333333,32.4,851,25,101,534,56.1,7
8.33333333333333,31,752,10,90,443,66.23,8
8.33333333333333,28.5,670,15,86,400,63.61,8
8.33333333333333,31.8,847,10,113,511,67.59,7
8.33333333333333,30.7,875,13,119,501,66.73,9
8.33333333333333,30.1,829,20,97,511,59.26,6
8.33333333333333,30.2,849,15,98,488,63.06,7
8.33333333333333,30.2,826,18,84,487,59.39,6
8.33333333333333,33.1,659,19,89,383,61.91,6
8.33333333333333,29.6,833,10,94,484,65.76,5
8.33333333333333,31.1,819,13,95,457,64.67,6
8.33333333333333,30.4,732,18,105,428,63.54,8
8.33333333333333,30.2,878,26,98,551,54.68,6
8.33333333333333,34.6849315068493,773,21,98,476,59.6,6
8.33333333333333,32.5479452054795,810,14,101,462,64.7,2
8.33333333333333,34.4219178082192,763,35,84,480,48.93,6
8.33333333333333,34.0602739726027,728,17,87,430,61.77,7
8.33333333333333,35.9013698630137,712,17,92,436,62.28,7
8.33333333333333,35.4739726027397,756,6,99,439,69.99,7
8.33333333333333,33.6657534246575,851,13,106,509,64.85,5
8.33333333333333,34.586301369863,726,8,87,430,67.4,4
8.33333333333333,33.7643835616438,877,19,92,524,58.92,6
8.33333333333333,33.8630136986301,754,17,86,460,60.92,7
8,29.8,785,15,89,466,62.42,6
8,31.3,771,22,94,479,58.38,9
8,30.4,849,12,92,473,64.52,6
8,30.1,781,11,79,458,63.81,4
8,30.8,701,14,82,402,63.67,4
8,29.7,788,12,76,467,62.58,4
8,29,781,22,79,483,56.34,6
8,29.7,892,15,90,529,61.04,6
8,31.3,858,16,99,512,61.99,6
5.71428571428571,29.8,781,19,88,480,59.45,9
5.71428571428571,28.3,846,24,83,499,55.22,6
5.71428571428571,29.5,889,17,105,535,61.59,6
5.71428571428571,30,886,19,102,524,60.22,8
5.71428571428571,30.1,916,20,96,546,58.29,8
5.71428571428571,30.1,855,25,83,527,53.93,6
5.71428571428571,30.7,808,8,107,482,68.75,9
5.71428571428571,30.7,854,12,105,489,65.82,9
5.71428571428571,30,801,17,93,467,61.67,8
5.71428571428571,28.7,958,17,127,581,63.35,9
10,30,876,15,102,526,62.67,9
10,29.3,953,30,98,583,51.41,9
10,29.8,695,8,77,407,66.65,5
10,29.1,731,8,88,406,68.11,5
10,29,779,14,96,468,63.91,6
10,30.7,884,21,114,521,60.6,9
10,30.6,781,15,93,467,62.92,2
10,30.5,954,23,95,550,56.18,6
10,30.2,729,22,81,435,57.75,4
10,29.6,836,23,92,500,56.99,6
10,29.3,743,7,85,429,67.79,3
10,30.3,640,10,89,385,67.49,4
10,31,807,15,89,466,62.42,6
10,33,892,11,100,509,65.32,8
10,29.4,898,19,99,527,59.76,6
10,29.4,903,11,100,523,64.98,9
